price_usd,price_byn,subway_stat,rooms_num,publication_date
200 $,635 BYN,Пушкинская,1комната,19:29
210 $,667 BYN,Могилёвская,1комната,19:27
459 $,1 458 BYN,Молодёжная,2комнаты,20июля
320 $,1 017 BYN,Петровщина,1комната,19июля
650 $,2 065 BYN,,4комнаты,19июля
350 $,1 112 BYN,,1комната,19июля
530 $,1 684 BYN,,4комнаты,19июля
420 $,1 334 BYN,,1комната,19июля
550 $,1 747 BYN,МинскМир,2комнаты,19июля
682 $,2 166 BYN,Восток,4комнаты,18июля
351 $,1 115 BYN,Веснянка,2комнаты,18июля
702 $,2 230 BYN,Московская,2комнаты,18июля
802 $,2 549 BYN,Аэродромная,3комнаты,18июля
570 $,1 811 BYN,КовальскаяСлобода,3комнаты,18июля
600 $,1 906 BYN,Академиянаук,3комнаты,18июля
236 $,750 BYN,Малиновка,1комната,17июля
1 500 $,4 765 BYN,,4комнаты,17июля
352 $,1 119 BYN,Кунцевщина,1комната,17июля
604 $,1 919 BYN,Аэродромная,2комнаты,17июля
200 $,635 BYN,Спортивная,1комната,17июля
280 $,890 BYN,Пушкинская,2комнаты,17июля
800 $,2 542 BYN,ПлощадьЯкубаКоласа,2комнаты,17июля
500 $,1 588 BYN,,1комната,17июля
415 $,1 320 BYN,ПлощадьЯкубаКоласа,2комнаты,17июля
480 $,1 525 BYN,Каменнаягорка,2комнаты,17июля
302 $,960 BYN,ПлощадьЛенина,3комнаты,16июля
684 $,2 173 BYN,Институткультуры,4комнаты,16июля
453 $,1 438 BYN,Кунцевщина,3комнаты,16июля
402 $,1 278 BYN,,2комнаты,16июля
250 $,794 BYN,Пушкинская,1комната,16июля
250 $,794 BYN,Восток,1комната,16июля
250 $,794 BYN,ПлощадьЯкубаКоласа,1комната,16июля
310 $,985 BYN,,1комната,16июля
750 $,2 383 BYN,,3комнаты,16июля
654 $,2 079 BYN,,3комнаты,15июля
210 $,667 BYN,Кунцевщина,1комната,15июля
554 $,1 759 BYN,,2комнаты,15июля
450 $,1 430 BYN,Петровщина,1комната,15июля
300 $,953 BYN,ПлощадьЯкубаКоласа,1комната,13июля
454 $,1 443 BYN,Каменнаягорка,4комнаты,12июля
454 $,1 443 BYN,Аэродромная,2комнаты,12июля
580 $,1 843 BYN,Академиянаук,1комната,12июля
1 010 $,3 208 BYN,Грушевка,3комнаты,12июля
500 $,1 588 BYN,,3комнаты,12июля
210 $,667 BYN,,1комната,12июля
424 $,1 347 BYN,,2комнаты,12июля
1 000 $,3 177 BYN,Академиянаук,2комнаты,12июля
750 $,2 383 BYN,КовальскаяСлобода,2комнаты,12июля
700 $,2 224 BYN,Кунцевщина,3комнаты,11июля
900 $,2 859 BYN,Октябрьская/Купаловская,2комнаты,11июля
450 $,1 430 BYN,Академиянаук,1комната,11июля
706 $,2 243 BYN,Московская,2комнаты,11июля
450 $,1 430 BYN,Сухарево,3комнаты,11июля
605 $,1 923 BYN,Петровщина,2комнаты,11июля
605 $,1 923 BYN,Аэродромная,4комнаты,11июля
474 $,1 506 BYN,,2комнаты,11июля
807 $,2 564 BYN,Каменнаягорка,3комнаты,11июля
590 $,1 874 BYN,Петровщина,3комнаты,11июля
333 $,1 058 BYN,,2комнаты,11июля
807 $,2 564 BYN,Немига,2комнаты,11июля
454 $,1 443 BYN,Пушкинская,1комната,10июля
1 007 $,3 198 BYN,ПлощадьЛенина,2комнаты,10июля
700 $,2 224 BYN,Каменнаягорка,3комнаты,10июля
400 $,1 271 BYN,Петровщина,1комната,10июля
330 $,1 049 BYN,ПлощадьЛенина,1комната,10июля
504 $,1 602 BYN,Каменнаягорка,3комнаты,10июля
270 070 $,857 985 BYN,Академиянаук,1комната,9июля
354 $,1 124 BYN,Зелёныйлуг,1комната,9июля
1 061 $,3 372 BYN,Немига,3комнаты,9июля
320 $,1 017 BYN,КовальскаяСлобода,1комната,9июля
404 $,1 285 BYN,Каменнаягорка,2комнаты,9июля
650 $,2 065 BYN,Кунцевщина,3комнаты,9июля
900 $,2 859 BYN,Немига,3комнаты,8июля
550 $,1 747 BYN,ПаркЧелюскинцев,2комнаты,8июля
400 $,1 271 BYN,КовальскаяСлобода,1комната,8июля
405 $,1 286 BYN,Сухарево,2комнаты,8июля
1 012 $,3 216 BYN,Немига,2комнаты,8июля
210 $,667 BYN,Пушкинская,1комната,8июля
409 $,1 300 BYN,Грушевка,2комнаты,8июля
800 $,2 542 BYN,"Червякова,Шевченко",3комнаты,8июля
300 $,953 BYN,Лошица,1комната,7июля
346 $,1 100 BYN,Малиновка,3комнаты,5июля
431 $,1 370 BYN,ПлощадьПобеды,2комнаты,4июля
556 $,1 765 BYN,Аэродромная,3комнаты,4июля
142 $,450 BYN,Октябрьская/Купаловская,2комнаты,4июля
381 $,1 211 BYN,Тракторныйзавод,2комнаты,2июля
702 $,2 231 BYN,Институткультуры,4комнаты,2июля
698 $,2 216 BYN,Малиновка,3комнаты,1июля
598 $,1 900 BYN,ПлощадьЯкубаКоласа,2комнаты,1июля
389 $,1 235 BYN,ПлощадьЯкубаКоласа,1комната,1июля
850 $,2 700 BYN,,4комнаты,28июня
420 $,1 334 BYN,ПлощадьЯкубаКоласа,2комнаты,27июня
350 $,1 112 BYN,Восток,2комнаты,26июня
800 $,2 542 BYN,Октябрьская/Купаловская,3комнаты,25июня
320 $,1 017 BYN,Грушевка,2комнаты,25июня
350 $,1 112 BYN,Пушкинская,1комната,24июня
1 000 $,3 177 BYN,ПлощадьПобеды,2комнаты,24июня
637 $,2 023 BYN,Лебяжий,2комнаты,24июня
350 $,1 112 BYN,Михалово,1комната,23июня
950 $,3 018 BYN,,2комнаты,23июня
400 $,1 270 BYN,Академиянаук,1комната,21июня
700 $,2 223 BYN,Грушевка,3комнаты,21июня
450 $,1 429 BYN,Спортивная,2комнаты,21июня
199 $,632 BYN,Чижовка,1комната,20июня
320 $,1 017 BYN,Институткультуры,2комнаты,20июня
500 $,1 588 BYN,Уручье,3комнаты,20июня
500 $,1 588 BYN,Уручье,3комнаты,20июня
173 $,550 BYN,Восток,2комнаты,19июня
450 $,1 430 BYN,,1комната,19июня
431 $,1 370 BYN,Фрунзенская,2комнаты,19июня
350 $,1 112 BYN,Восток,2комнаты,18июня
302 $,960 BYN,Каменнаягорка,1комната,18июня
450 $,1 430 BYN,Аэродромная,2комнаты,18июня
330 $,1 048 BYN,ПлощадьЛенина,1комната,17июня
353 $,1 120 BYN,,1комната,17июня
755 $,2 400 BYN,,2комнаты,17июня
